ID,Severity,Category,File,Line,Title,Root Cause,Impact,Fix,Effort (hours),Priority Rank
CRIT-001,Critical,Architecture,arrival uk/ContentView.swift,1-3671,Monolithic ContentView.swift blocks maintainability,"All UI logic consolidated into single 3,671-line file with 38 @State variables",Cannot scale team; merge conflicts guaranteed; cannot test components in isolation; entire view recompiles on state change,"Extract into logical components: HomeScreenView (~400 LOC), CategoryDetailOverlay (~600 LOC), TaskDetailSheet (~800 LOC), ProfileSetupSheet (~500 LOC), HelpPrivacySheets (~200 LOC), Components/ directory for reusables, Keep ContentView as 200-line coordinator",24-32,1
CRIT-002,Critical,Security,backend/functions/src/email.ts,"60-79, 71-79, 174, 188, 200-202, 254",Email template XSS vulnerability,"User-controlled variables (displayName, subject, message, recipientName) interpolated directly into HTML without entity encoding","Phishing attack vector; malicious HTML can exploit email clients; brand damage; GDPR violation if data exfiltrated","Create escapeHtml() utility function to replace [&<>""'] with HTML entities; Apply to all user-controlled variables in 5 template functions: welcomeHTML, supportCreatedHTML, support_followup, maintenance_notice, broadcast_update",2-3,2
CRIT-003,Critical,Security,backend/functions/src/email.ts backend/functions/src/sms.ts,"113-119 (email), 46-52 (sms)",Privilege escalation via unverified token claims,Admin/owner privilege checks rely on client-provided JWT token claims without server-side Firestore verification,"Mass email spam; SMS abuse to arbitrary numbers; cost explosion (Twilio/SendGrid); account takeover if combined with other vulnerabilities","Replace client token checks with server-side Firestore verification against admins collection OR use Firebase Auth custom claims (set server-side); Make isPrivilegedCaller async and await in all callers (email.ts:314, sms.ts:97)",4-6,3
CRIT-004,Critical,Security,backend/functions/src/email.ts backend/functions/src/sms.ts,"121-157 (email), 54-90 (sms)",Rate limit race condition,Firestore transaction check-and-increment is not atomic; concurrent requests can all pass check before counter increments,"Rate limit bypass via parallel requests; DoS via cost (Twilio/SendGrid bills spike); spam abuse from legitimate domain","Use Firestore conditional updates with retry logic (retry up to 3 times on contention); Check BEFORE incrementing in transaction; Better alternative: Use Redis with atomic INCR operation",3-4,4
CRIT-005,Critical,Testing,No test files exist,N/A,Zero test coverage,No unit tests integration tests or E2E tests implemented; no test infrastructure configured,"Regression risk on any change; cannot safely refactor; manual testing only; no deployment confidence; developers afraid to make changes","Phase 1: ContentData persistence tests (8h), Backend security tests (8h), Auth flow tests (6h); Phase 2: XCUITest critical flows (12h); Phase 3: Backend integration tests (10h)",40-50,5
CRIT-006,Critical,Infrastructure,No .github/workflows/ or CI config,N/A,No CI/CD pipeline,All builds and deployments manual; no automated quality gates,"Human error in deploys; can deploy broken code; slow releases; no rollback plan; team bottleneck (only one person knows process)","Phase 1: Create .github/workflows/ios-ci.yml with build+test (8h); Phase 2: Create backend-ci.yml with npm test+firestore rules validation (6h); Phase 3: CD for staging auto-deploy to TestFlight (8h)",20-24,6
HIGH-001,High,Security,backend/functions/src/auth.ts,10-14,Weak referral code generation,Referral codes use Math.random() which is predictable; only ~46k possible suffixes,"Referral fraud via predicted codes; low entropy; collision risk (50% at ~200 users)","Replace Math.random() with crypto.randomBytes(2).toString('hex').toUpperCase() for 65k possibilities",1,7
HIGH-002,High,Security/Compliance,backend/functions/src/auth.ts,107-110,PII (email) logged in analytics,User emails stored in analytics events without explicit consent,"GDPR violation (Article 6); data breach risk if analytics DB compromised; cannot easily delete user email (right to erasure)","Store email domain only instead of full email: emailDomain: user.email?.split('@')[1] ?? null; Audit other PII logging",2,8
HIGH-003,High,Security,arrival uk/Networking/SecureHTTPClient.swift,1-66,No certificate pinning,HTTPS enforced but no certificate pinning; vulnerable to MITM with valid CA certificate,"Corporate proxy MITM; compromised CA attack; user data exposure (profile, progress, auth tokens)","Implement URLSessionDelegate with public key pinning; Store Firebase API public key hashes; Validate in didReceive challenge callback",8-12,9
HIGH-004,High,Security,arrival uk/Security/KeychainManager.swift,1-103,Keychain tokens lack TTL management,Tokens stored in Keychain never expire; no timestamp stored with token,"Stolen token persistence forever; cannot force re-auth; compliance risk (some regulations require periodic re-auth)","Create KeychainToken struct with expiresAt Date; Modify saveToken to accept expiresIn seconds; Auto-delete expired tokens in loadToken",4-6,10
